First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Razak,Al-Hassan,,74.0,205.0,,Orthodox,13,5,0,
Abdul-Kareem,Al-Selwady,Pride of Palestine,68.0,155.0,69.0,Orthodox,15,4,0,
Mostapha,Al-Turk,,74.0,245.0,77.0,Orthodox,6,6,0,
Herdem,Alacabek,,74.0,205.0,75.0,Orthodox,5,1,0,
Javi,Alanis,,66.0,135.0,,Unrecorded,0,4,0,
,Alatengheili,The Mongolian Knight,65.0,135.0,66.0,Orthodox,17,9,2,
Amir,Albazi,The Prince,65.0,125.0,68.0,Orthodox,17,2,0,
Brett,Albee,,,225.0,,Unrecorded,3,2,0,
John,Albert,Prince,68.0,135.0,68.0,Orthodox,6,5,0,
Junior,Albini,Baby,75.0,264.0,74.0,Orthodox,14,6,0,
Wes,Albritton,,70.0,188.0,,Orthodox,0,1,0,
Aleksandra,Albu,Stitch,62.0,115.0,63.0,Orthodox,3,2,0,
Israel,Albuquerque,,,185.0,,Orthodox,0,3,0,
Juan,Alcain,,,,,Unrecorded,1,2,0,
Iuri,Alcantara,Marajo,69.0,135.0,71.0,Southpaw,35,10,0,
Ildemar,Alcantara,Marajo,74.0,185.0,78.0,Orthodox,21,11,0,
Alfonso,Alcarez,,63.0,145.0,,Unrecorded,1,3,1,
Gilbert,Aldana,El Peligro,73.0,250.0,,Orthodox,6,2,0,
Irene,Aldana,,69.0,135.0,68.0,Orthodox,15,8,0,
Hector,Aldana,,71.0,170.0,72.0,Orthodox,4,3,0,
Jose,Alday,Pochito,67.0,135.0,68.0,Orthodox,14,6,1,
Jose,Aldo,,67.0,135.0,70.0,Orthodox,32,9,0,
JJ,Aldrich,,65.0,125.0,67.0,Southpaw,14,7,0,
Irina,Alekseeva,Russian Ronda,68.0,135.0,67.0,Orthodox,5,2,0,
Talita,Alencar,Problem Child,61.0,115.0,58.0,Orthodox,5,1,1,
Jim,Alers,The Beast,69.0,145.0,71.0,Orthodox,13,3,0,
John,Alessio,The Natural,70.0,155.0,72.0,Orthodox,35,17,0,
Houston,Alexander,The Assassin,72.0,205.0,72.0,Orthodox,17,15,1,
Kenneth,Alexander,The Machine,69.0,155.0,,Orthodox,7,6,0,
Lucas,Alexander,The Lion,71.0,145.0,73.0,Orthodox,8,5,0,
Marcio,Alexandre Junior,Lyoto,72.0,185.0,75.0,Southpaw,17,4,0,
Olaf,Alfonso,,74.0,170.0,,Orthodox,8,12,0,
Pablo,Alfonso,The Hurricane,68.0,145.0,,Unrecorded,9,7,0,
Levi,Alford,,,,,Unrecorded,1,7,0,
Bill,Algeo,Senor Perfecto,72.0,145.0,73.0,Switch,18,9,0,
Royce,Alger,,70.0,199.0,,Orthodox,3,2,0,
Amir,Aliakbari,,75.0,250.0,,Unrecorded,10,1,0,
Sultan,Aliev,,71.0,170.0,74.0,Orthodox,15,3,0,
Nurullo,Aliev,Tajik Eagle,70.0,155.0,72.0,Orthodox,10,0,0,
Ikram,Aliskerov,,72.0,185.0,76.0,Southpaw,15,2,0,
Leon,Aliu,The Albanian Lion,72.0,185.0,74.0,Orthodox,10,2,0,
John,Allan,,73.0,205.0,75.0,Orthodox,13,7,0,
George,Allen,,74.0,205.0,,Open Stance,13,19,2,
Arnold,Allen,Almighty,68.0,145.0,70.0,Southpaw,20,3,0,
Brendan,Allen,All In,74.0,185.0,75.0,Orthodox,24,7,0,
Daniel,Allen,,72.0,155.0,75.0,Southpaw,5,0,0,
Ben,Alloway,Blanco,71.0,170.0,76.0,Orthodox,18,8,0,
Asu,Almabayev,Zulfikar,64.0,125.0,65.0,Orthodox,21,3,0,
Bekzat,Almakhan,The Turan Warrior,67.0,135.0,68.0,Orthodox,11,2,0,
John Dave,Almanza,The Striker,67.0,125.0,67.0,Southpaw,6,1,0,
Ricardo,Almeida,Big Dog,72.0,170.0,74.0,Orthodox,13,5,0,
Magno,Almeida,,72.0,155.0,,Unrecorded,10,3,0,
Thomas,Almeida,Thominhas,67.0,145.0,70.0,Southpaw,22,5,0,
Ericka,Almeida,,66.0,115.0,,Orthodox,7,3,0,
Estefani,Almeida,,64.0,125.0,,Orthodox,7,3,0,
Jailton,Almeida,Malhadinho,75.0,205.0,79.0,Orthodox,22,3,0,
Lucas,Almeida,,71.0,145.0,71.0,Orthodox,15,4,0,
Cesar,Almeida,Cesinha,73.0,185.0,74.0,Orthodox,7,1,0,
Mauricio,Alonso,,74.0,170.0,,Unrecorded,13,7,0,
Sarah,Alpar,Too Sweet,64.0,135.0,63.0,Southpaw,9,6,0,
Ali,AlQaisi,The Royal Fighter,66.0,135.0,68.0,Orthodox,8,5,0,
Rico,Altamirano,,70.0,170.0,,Unrecorded,4,3,0,
Victor,Altamirano,El Magnifico,68.0,125.0,70.0,Switch,12,5,0,
Mike,Altman,,70.0,185.0,,Orthodox,1,4,0,
Patricia,Alujas,The Angel,64.0,115.0,64.0,Orthodox,9,3,0,
Sean,Alvarez,,72.0,235.0,,Orthodox,4,3,0,
Eddie,Alvarez,,69.0,155.0,69.0,Orthodox,29,6,0,
Jaime,Alvarez,,68.0,125.0,69.0,Orthodox,6,1,0,
Joel,Alvarez,El Fenomeno,75.0,155.0,77.0,Orthodox,22,3,0,
Thiago,Alves,Pitbull,69.0,170.0,70.0,Orthodox,23,15,0,
Anthony,Alves,,,,,Unrecorded,1,4,0,
Amilcar,Alves,,72.0,170.0,,Southpaw,15,12,0,
Warlley,Alves,,71.0,185.0,72.0,Orthodox,15,8,0,
Rafael,Alves,The Turn,68.0,155.0,68.0,Orthodox,20,12,0,
Sam,Alvey,Smile'N,74.0,185.0,75.0,Southpaw,33,18,1,
Andre,Amado,Dida,72.0,154.0,,Orthodox,6,4,1,
Adlan,Amagov,Borz,74.0,170.0,76.0,Orthodox,14,2,1,
Maiara,Amanajas dos Santos,,65.0,115.0,,Southpaw,7,3,0,
Chris,Amarante,,,185.0,,Unrecorded,2,0,0,
Jimmy,Ambriz,The Titan,74.0,315.0,,Southpaw,17,21,1,
JJ,Ambrose,,70.0,170.0,,Orthodox,28,7,0,
Alen,Amedovski,,70.0,185.0,74.0,Orthodox,8,4,0,
Hyder,Amil,The Hurricane,69.0,145.0,70.0,Switch,11,0,0,
Hamid,Amiri,The Storm,,145.0,,Unrecorded,9,0,0,
Makwan,Amirkhani,Mr. Finland,70.0,145.0,72.0,Southpaw,17,9,0,
Jaqueline,Amorim,,63.0,115.0,68.0,Orthodox,9,1,0,
Bertrand,Amoussou,,68.0,190.0,,Orthodox,1,1,0,
Karl,Amoussou,The Psycho,71.0,185.0,,Orthodox,27,7,2,
Eryk,Anders,Ya Boi,73.0,185.0,75.0,Southpaw,17,8,0,
Matt,Andersen,,74.0,230.0,,Southpaw,14,8,1,
Andy,Anderson,The Hammer,66.0,240.0,,Unrecorded,0,1,0,
Lowell,Anderson,,66.0,160.0,,Orthodox,0,1,0,
Corey,Anderson,Overtime,75.0,205.0,79.0,Orthodox,14,5,0,
Derek,Anderson,Barbaric,72.0,155.0,,Unrecorded,14,3,0,
Megan,Anderson,,72.0,145.0,72.0,Orthodox,11,5,0,
Liam,Anderson,,75.0,185.0,75.0,Orthodox,6,3,0,
Tatsuya,Ando,Kirinji,64.0,145.0,68.0,Southpaw,14,4,1,
Alex,Andrade,El Toro,71.0,200.0,,Orthodox,10,5,0,
Jessica,Andrade,Bate Estaca,61.0,125.0,62.0,Orthodox,26,13,0,
Viscardi,Andrade,,71.0,170.0,75.0,Orthodox,19,6,0,
Jermaine,Andre,,67.0,200.0,,Orthodox,14,4,0,
Juan,Andres Luna,,67.0,125.0,72.0,Orthodox,12,1,0,
Fellipe,Andrew,,,,,Unrecorded,0,0,0,
Dylan,Andrews,The Villain,73.0,185.0,74.0,Switch,18,7,0,
Reese,Andy,Riptide,72.0,205.0,,Orthodox,7,3,0,
,Angga,The Hitman,67.0,145.0,68.0,Orthodox,13,3,0,
Julius,Anglickas,,75.0,205.0,,Orthodox,5,1,0,
Collin,Anglin,,69.0,145.0,71.0,Orthodox,8,3,0,
Chad,Anheliger,The Monster,66.0,135.0,64.0,Orthodox,13,8,0,
Yoji,Anjo,Mr. 200%,71.0,205.0,,Orthodox,0,5,1,
Magomed,Ankalaev,,75.0,205.0,75.0,Orthodox,21,1,1,
Gadzhimurad,Antigulov,,71.0,205.0,70.0,Orthodox,20,8,0,
Adam,Antolin,Captain Chaos,65.0,125.0,63.0,Orthodox,12,3,0,
Angelo,Antonio,,,205.0,,Orthodox,1,4,0,
Vanilto,Antunes,,72.0,170.0,72.0,Orthodox,16,7,0,
Azunna,Anyanwu,Zulu,73.0,251.0,,Orthodox,14,5,0,
Shinsho,Anzai,Animal,67.0,170.0,70.0,Orthodox,10,3,0,
Shinya,Aoki,Tobikan Judan,71.0,154.0,,Southpaw,39,7,0,
,Aoriqileng,The Mongolian Murderer,67.0,135.0,69.0,Orthodox,25,12,0,
Josh,Appelt,,70.0,255.0,,Southpaw,15,7,0,
Erik,Apple,,72.0,170.0,,Orthodox,10,3,0,
Kenji,Arai,,70.0,145.0,,Southpaw,15,15,5,
Romie,Aram,,70.0,170.0,,Orthodox,7,1,0,
Felipe,Arantes,Sertanejo,68.0,135.0,73.0,Orthodox,18,10,1,
Igor,Araujo,,73.0,170.0,77.0,Orthodox,25,9,0,
Viviane,Araujo,Vivi,64.0,125.0,68.0,Orthodox,13,6,0,
Julio,Arce,,67.0,145.0,70.0,Southpaw,19,6,0,
Art,Arciniega,King Arthur,68.0,145.0,,Unrecorded,15,7,0,
Alice,Ardelean,,63.0,115.0,62.0,Orthodox,9,7,0,
Tristan,Arenal,,,155.0,,Unrecorded,7,4,0,
Gabriel,Arges,,,170.0,,Unrecorded,0,0,0,
Dan,Argueta,The Determined,67.0,135.0,68.0,Southpaw,9,3,0,
Reza,Arianto,The Crazy Lion,,155.0,,Unrecorded,5,0,0,
Hashem,Arkhagha,,74.0,185.0,75.0,Orthodox,6,1,0,
Andrei,Arlovski,The Pitbull,75.0,240.0,77.0,Orthodox,34,24,0,
Garrett,Armfield,,66.0,135.0,70.0,Orthodox,10,5,0,
Joey,Armstrong,,,,,Unrecorded,5,2,0,
Austin,Arnett,,72.0,145.0,72.0,Orthodox,16,6,0,
Ricardo,Arona,The Brazilian Tiger,71.0,205.0,,Orthodox,14,5,0,
Eli,Aronov,The Israeli Tank,70.0,185.0,72.0,Orthodox,6,1,0,
Chalid,Arrab,Die Faust,71.0,205.0,,Orthodox,7,3,0,
Akbarh,Arreola,El Caballero,70.0,155.0,71.0,Southpaw,23,11,1,
Matt,Arroyo,No Regard,70.0,170.0,72.0,Orthodox,3,3,0,
Antonio,Arroyo,,75.0,185.0,73.0,Orthodox,9,5,0,
Gilles,Arsene,,69.0,190.0,,Southpaw,1,1,0,
Veta,Arteaga,,67.0,125.0,,Unrecorded,3,1,0,
Cesar,Arzamendia,Goku,71.0,155.0,,Orthodox,8,3,0,
Kai,Asakura,,68.0,125.0,69.0,Orthodox,21,5,0,
Teddy,Ash,Bear,73.0,185.0,73.0,Switch,14,5,0,
Arman,Ashimov,Mustafa Ozturik,66.0,125.0,,Unrecorded,11,3,1,
Yanal,Ashmouz,Red Fox,69.0,155.0,69.0,Orthodox,8,1,0,
,Asjabharan,,66.0,135.0,,Unrecorded,7,6,0,
Askar,Askar,AK-47,67.0,145.0,69.0,Orthodox,11,1,0,
Askar,Askarov,Bullet,66.0,125.0,67.0,Orthodox,14,1,1,
Cyril,Asker,Silverback,72.0,247.0,74.0,Orthodox,9,4,0,
Khusein,Askhabov,Nohcho,68.0,145.0,69.0,Orthodox,23,1,0,
Scott,Askham,,75.0,185.0,75.0,Southpaw,14,4,0,
Ben,Askren,Funky,71.0,170.0,73.0,Orthodox,19,2,0,
Ibo,Aslan,The Last Ottoman,75.0,205.0,77.0,Orthodox,14,2,0,
Tom,Aspinall,,77.0,256.0,78.0,Orthodox,15,3,0,
Bruno,Assis,Brunao,74.0,185.0,,Orthodox,8,4,0,
Junior,Assuncao,,69.0,145.0,72.0,Orthodox,16,6,0,
Raphael,Assuncao,,65.0,135.0,66.0,Orthodox,28,10,0,
Michael,Aswell,The Texas Kid,68.0,145.0,69.0,Orthodox,9,2,0,
Bazigit,Atajev,Volk,73.0,230.0,,Orthodox,17,1,0,
Rich,Attonito,The Raging Bull,70.0,170.0,72.0,Orthodox,10,5,0,
Olivier,Aubin-Mercier,The Canadian Gangster,69.0,155.0,70.0,Southpaw,11,5,0,
Pat,Audinwood,Awesomely Awesome,72.0,155.0,,Orthodox,11,2,1,
Jose,Augusto,Gugu,75.0,251.0,,Unrecorded,6,2,0,
Marcus,Aurelio,Maximus,70.0,155.0,74.0,Orthodox,22,10,0,
David,Avellan,,69.0,185.0,,Orthodox,2,1,0,
Blas,Avena,The Disciple,72.0,170.0,74.0,Orthodox,8,7,0,
Levi,Avera,,73.0,170.0,,Unrecorded,18,15,0,
Anthony,Avila,,67.0,145.0,,Unrecorded,13,5,0,
Chris,Avila,,70.0,145.0,,Orthodox,5,4,0,
Julia,Avila,Raging Panda,67.0,135.0,68.0,Orthodox,9,4,0,
Saad,Awad,Assassin,71.0,155.0,,Unrecorded,20,9,0,
Javy,Ayala,Eye Candy,73.0,265.0,,Unrecorded,10,5,0,
Jessin,Ayari,,72.0,155.0,73.0,Orthodox,16,6,0,
Abu,Azaitar,Captain Morocco,69.0,185.0,76.0,Orthodox,14,4,1,
Ottman,Azaitar,Bulldozer,68.0,155.0,71.0,Switch,13,3,0,
Luiz,Azeredo,,69.0,154.0,,Orthodox,15,10,0,
Luciano,Azevedo,,75.0,161.0,,Orthodox,17,9,1,
Hunter,Azure,,68.0,145.0,69.0,Orthodox,9,2,0,
Niklas,Backstrom,,73.0,145.0,,Orthodox,11,3,0,
Seth,Baczynski,The Polish Pistola,75.0,170.0,75.0,Orthodox,20,14,0,
Abdul Azeem,Badakhshi,The Afghan Lion,,145.0,,Unrecorded,13,3,0,
Ryan,Bader,Darth,74.0,205.0,74.0,Orthodox,23,5,0,
Izabela,Badurek,,65.0,115.0,,Orthodox,6,3,0,
Miguel,Baeza,Caramel Thunder,74.0,170.0,74.0,Orthodox,10,4,0,
Ali,Bagautinov,Puncher,64.0,125.0,65.0,Orthodox,15,6,0,
Mehdi,Baghdad,The Sultan,73.0,155.0,,Orthodox,11,5,0,
Melsik,Baghdasaryan,The Gun,69.0,145.0,70.0,Southpaw,8,3,0,
Siyar,Bahadurzada,The Great,71.0,170.0,73.0,Orthodox,24,8,1,
Ignacio,Bahamondes,La Jaula,75.0,155.0,75.0,Orthodox,17,5,0,
Bahatebole,Batebolati,Lion King,68.0,170.0,71.0,Southpaw,10,1,1,
Shamar,Bailey,,69.0,155.0,75.0,Southpaw,16,11,0,
Jordan,Bailey,,69.0,145.0,,Unrecorded,6,3,0,
Scott,Baker,,72.0,210.0,,Unrecorded,1,1,0,
Bryan,Baker,The Beast,75.0,185.0,,Orthodox,18,5,0,
Jin,Bala,,69.0,155.0,,Unrecorded,23,3,0,
,Balajin,The Snow Leopard,69.0,145.0,72.0,Orthodox,23,4,0,
Oluwale,Bamgbose,Holy War Angel,71.0,185.0,78.0,Switch,6,4,0,
Stephen,Banaszak,,72.0,145.0,,Unrecorded,5,5,0,
Marcin,Bandel,Bomba,70.0,155.0,,Orthodox,15,7,0,
Humberto,Bandenay,,71.0,145.0,71.0,Southpaw,14,7,0,
Tae Hyun,Bang,Supernatural,69.0,155.0,71.0,Switch,18,10,0,
Yohan,Banks,,,,,Unrecorded,2,1,0,
Shauna,Bannon,Mama B,65.0,115.0,65.0,Switch,7,1,0,
Antonio,Banuelos,,65.0,135.0,63.0,Orthodox,20,11,1,
Renan,Barao,The Baron,66.0,145.0,70.0,Orthodox,34,9,0,
Junior,Barata,,70.0,170.0,,Orthodox,9,3,1,
Maycee,Barber,The Future,65.0,125.0,65.0,Switch,14,2,0,
Bryan,Barberena,Bam Bam,72.0,185.0,72.0,Southpaw,18,12,0,
Dione,Barbosa,The Witch,66.0,125.0,66.0,Orthodox,7,3,0,
Edson,Barboza,Junior,71.0,145.0,75.0,Orthodox,24,12,0,
Raoni,Barcelos,,67.0,135.0,67.0,Orthodox,19,5,0,
Daniel,Barez,,66.0,125.0,66.0,Orthodox,17,7,0,
Danny,Barlow,LeftHand2God,74.0,170.0,79.0,Southpaw,9,1,0,
Luke,Barnatt,The Bigslow,78.0,185.0,77.0,Orthodox,13,4,0,
James,Barnes,Mooka,68.0,135.0,71.0,Orthodox,14,5,0,
Nick,Barnes,,71.0,170.0,,Unrecorded,11,2,0,
Shonte,Barnes,Shyne,71.0,185.0,76.0,Southpaw,6,2,1,
Josh,Barnett,The Warmaster,75.0,250.0,78.0,Orthodox,35,8,0,
Chris,Barnett,Beastboy,69.0,265.0,75.0,Orthodox,23,9,0,
Chris,Barnhizer,,,,,Unrecorded,2,3,0,
David,Baron,,66.0,155.0,,Switch,17,4,1,
Phil,Baroni,The New York Bad Ass,69.0,170.0,72.0,Orthodox,15,18,0,
Dan,Barrera,The Fireman,69.0,170.0,,Orthodox,3,1,0,
Carlos,Barreto,,76.0,230.0,,Orthodox,14,9,0,
Jose,Barreto,,,185.0,,Southpaw,0,1,0,
Peter,Barrett,Slippery,70.0,145.0,73.0,Southpaw,11,5,0,
Marc-Andre,Barriault,Powerbar,73.0,185.0,74.0,Orthodox,16,9,0,
David,Barrios,,66.0,145.0,,Unrecorded,4,8,0,
Alexandre,Barros,Baixinho,69.0,170.0,,Southpaw,22,11,0,
Ricardo,Barros,,73.0,205.0,,Unrecorded,2,2,0,
Francimar,Barroso,Bodao,73.0,205.0,75.0,Orthodox,19,7,0,
Pat,Barry,HD,71.0,235.0,74.0,Orthodox,8,7,0,
Dean,Barry,The Sniper,70.0,170.0,72.0,Orthodox,4,2,0,
Enrique,Barzola,El Fuerte,67.0,145.0,70.0,Orthodox,17,5,2,
Javid,Basharat,The Snow Leopard,69.0,135.0,69.0,Orthodox,14,2,0,
Farid,Basharat,Ferocious,68.0,135.0,71.0,Orthodox,13,0,0,
Austin,Bashi,,66.0,145.0,70.0,Orthodox,13,1,0,
Stephen,Bass,Bigfish,69.0,145.0,,Orthodox,11,2,0,
Sean,Bassett,,,155.0,,Unrecorded,0,4,0,
Ryan,Bastianelli,Relentless,65.0,135.0,,Unrecorded,6,7,0,
Shayna,Baszler,The Queen of Spades,67.0,135.0,,Orthodox,15,11,0,
Michel,Batista,,75.0,260.0,,Orthodox,4,1,0,
Bryan,Battle,The Butcher,73.0,170.0,77.0,Orthodox,13,2,0,
Alan,Baudot,The Black Samourai,75.0,243.0,79.0,Orthodox,8,3,0,
Mario,Bautista,,69.0,135.0,69.0,Switch,15,2,0,
Chris,Beal,Real Deal,67.0,125.0,69.0,Orthodox,10,5,0,
Donovan,Beard,The Highlight Reel,74.0,185.0,78.0,Orthodox,7,2,0,
Rudy,Bears,,71.0,170.0,,Southpaw,16,15,0,
Salvador,Becerra,,69.0,155.0,,Unrecorded,5,2,0,
Ariel,Beck,,66.0,125.0,66.0,Southpaw,4,5,0,
Jeff,Bedard,Little Popeye,66.0,145.0,,Orthodox,13,3,0,
Eric,Bedard,Lucky Strikes,74.0,239.0,,Unrecorded,6,7,0,
Johnny,Bedford,Brutal,70.0,135.0,71.0,Orthodox,21,13,1,
Rolando,Bedoya,The Machine,71.0,155.0,74.0,Orthodox,14,4,0,
Chase,Beebe,,67.0,135.0,67.0,Orthodox,24,13,1,
Lyle,Beerbohm,Fancy Pants,70.0,155.0,,Southpaw,24,3,0,
Allan,Begosso,Mini,65.0,135.0,66.0,Orthodox,7,2,1,
Azamat,Bekoev,Iron,72.0,185.0,72.0,Orthodox,19,3,0,
Mirsad,Bektic,,68.0,145.0,70.0,Orthodox,13,4,0,
Diana,Belbita,The Warrior Princess,67.0,125.0,68.0,Orthodox,15,9,0,
Alan,Belcher,The Talent,74.0,185.0,75.0,Orthodox,18,8,0,
Vitor,Belfort,The Phenom,72.0,185.0,74.0,Southpaw,26,14,0,
Yousri,Belgaroui,,77.0,185.0,79.0,Orthodox,8,3,0,
Rodolfo,Bellato,Trator,75.0,205.0,77.0,Orthodox,12,2,1,
Danilo,Belluardo,Caterpillar,72.0,155.0,74.0,Southpaw,12,5,0,
Joey,Beltran,The Mexicutioner,73.0,185.0,75.0,Orthodox,17,14,0,
Marco,Beltran,Psycho,68.0,125.0,69.0,Orthodox,8,6,0,
Joseph,Benavidez,,64.0,125.0,65.0,Southpaw,28,8,0,
Mike,Bencic,Batman,72.0,215.0,,Orthodox,1,2,0,
Dave,Beneteau,Dangerous,74.0,250.0,,Orthodox,6,5,1,
Karla,Benitez,,63.0,113.0,,Unrecorded,14,11,1,
Gabriel,Benitez,Moggly,68.0,155.0,71.0,Southpaw,23,13,0,
Charles,Bennett,Krazy Horse,68.0,155.0,,Orthodox,30,33,2,
Josh,Bennett,,76.0,259.0,,Orthodox,11,14,0,
DeAnna,Bennett,The Argentine Assassin,64.0,125.0,68.0,Orthodox,8,3,1,
Benjamin,Bennett,Mr. Alaska,72.0,170.0,73.0,Switch,7,1,0,
Lance,Benoist,,71.0,170.0,72.0,Southpaw,7,2,0,
Joe,Benoit,,69.0,170.0,,Orthodox,11,4,0,
Ryan,Benoit,Baby Face,65.0,125.0,68.0,Orthodox,10,8,0,
Pat,Benson,,69.0,155.0,,Unrecorded,3,5,3,
Len,Bentley,,69.0,155.0,,Unrecorded,10,6,0,
Steve,Berger,The Red Nosed Pitbull,71.0,170.0,,Orthodox,21,23,2,
Kenneth,Bergh,,74.0,205.0,74.0,Orthodox,8,0,0,
Bret,Bergmark,The Angry Hick,69.0,170.0,,Unrecorded,6,1,1,
Keith,Berish,Sha Bang Bang,72.0,205.0,,Orthodox,5,1,0,
Dennis,Bermudez,The Menace,66.0,155.0,66.0,Orthodox,17,9,0,
Manny,Bermudez,The Bermudez Triangle,70.0,145.0,71.0,Orthodox,14,2,0,
Talita,Bernardo,,64.0,135.0,68.0,Orthodox,6,4,0,
Dave,Berry,,,,,Unrecorded,0,1,0,
Keith,Berry,,73.0,185.0,,Unrecorded,15,14,1,
Dieusel,Berto,,69.0,200.0,,Unrecorded,0,3,0,
Edson,Berto,Little Tiger,66.0,155.0,,Orthodox,17,12,1,
Allen,Berube,Monstah Lobstah,68.0,155.0,,Orthodox,4,3,0,
Anton,Berzin,The Body Snatcher,74.0,205.0,,Orthodox,5,1,0,
Scott,Bessac,,76.0,245.0,,Unrecorded,4,6,0,
Matt,Bessette,The Mangler,70.0,145.0,70.0,Orthodox,22,9,0,
Khadzhi,Bestaev,Best,78.0,185.0,76.0,Unrecorded,10,4,0,
Fernando,Bettega,,,170.0,,Unrecorded,7,5,0,
Arjan,Bhullar,,73.0,245.0,75.0,Orthodox,9,1,0,
KB,Bhullar,The Bengal,76.0,185.0,78.0,Switch,8,2,0,
Bibulatov,Magomed,Chaborz,65.0,125.0,65.0,Orthodox,14,2,0,
David,Bielkheden,,70.0,155.0,71.0,Orthodox,24,12,0,
Blake,Bilder,El Animal,68.0,145.0,68.0,Switch,8,2,1,
Jonas,Bilharinho,,71.0,145.0,75.0,Switch,9,1,1,
Jeremiah,Billington,,69.0,205.0,,Orthodox,11,2,0,
Scott,Bills,,70.0,170.0,,Unrecorded,7,9,1,
Anthony,Birchak,El Toro,68.0,135.0,69.0,Orthodox,16,8,0,
Chris,Birchler,The Big Buck,75.0,205.0,,Switch,7,4,0,
Angad,Bisht,,67.0,125.0,67.0,Orthodox,10,3,0,
Michael,Bisping,The Count,73.0,185.0,75.0,Orthodox,30,9,0,
Amaury,Bitetti,,69.0,185.0,,Orthodox,5,2,0,
Caio,Bittencourt,Leao,72.0,185.0,75.0,Orthodox,14,7,0,
Davi,Bittencourt,The Black,65.0,135.0,65.0,Orthodox,14,4,0,
Simon,Biyong,,,205.0,,Unrecorded,7,1,0,
Jan,Blachowicz,,74.0,205.0,78.0,Orthodox,29,11,1,
Jason,Black,The Black Legion,68.0,155.0,,Orthodox,23,4,1,
Brad,Blackburn,Bad Brad,70.0,170.0,73.0,Orthodox,18,13,1,
Jason,Blackford,,,,,Unrecorded,3,3,0,
Tom,Blackledge,,,205.0,,Orthodox,10,7,0,
Sherrard,Blackledge,The Thriller,71.0,155.0,75.0,Orthodox,5,1,0,
Da'Mon,Blackshear,The Monster,70.0,135.0,72.0,Switch,16,7,1,
Chasen,Blair,Mestizo,70.0,155.0,71.0,Orthodox,6,3,0,
Erin,Blanchfield,Cold Blooded,64.0,125.0,66.0,Orthodox,13,2,0,
Maximo,Blanco,Maxi,68.0,145.0,71.0,Orthodox,12,8,1,
David,Blanco,,67.0,145.0,,Unrecorded,2,0,0,
Curtis,Blaydes,Razor,76.0,265.0,80.0,Orthodox,18,5,0,
